id,timeframe,computed_at,best_params,net_sharpe,net_return,max_drawdown,n_trades,win_rate,param_grid_size,lookback_days,min_trades,eligible_candidates,total_candidates,status,rejection_reason,max_dd_used,rejected_by_min_trades,rejected_by_max_dd,rejected_by_both,max_trades_seen,best_dd_seen,folds_used,oos_trades,oos_win_rate,worst_fold_dd,rejected_oos_folds
1,5m,2026-03-02 01:56:20.357958+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 1, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",0,0,0,0,0,243,7,,,,,,,,,,,,,,,,
2,15m,2026-03-02 01:56:22.049967+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 1, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",0,0,0,1,0,243,7,,,,,,,,,,,,,,,,
3,5m,2026-03-02 01:57:41.119595+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 1, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",0,0,0,0,0,243,7,,,,,,,,,,,,,,,,
4,5m,2026-03-02 01:58:44.168763+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 1, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",0,0,0,0,0,243,7,,,,,,,,,,,,,,,,
5,5m,2026-03-02 01:59:44.457368+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 1, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",0,0,0,0,0,243,7,,,,,,,,,,,,,,,,
6,5m,2026-03-02 02:01:09.747188+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 1, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",0,0,0,0,0,243,7,,,,,,,,,,,,,,,,
7,5m,2026-03-02 02:02:15.835353+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 1, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",0,0,0,0,0,243,7,,,,,,,,,,,,,,,,
8,5m,2026-03-02 02:03:54.486752+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 1, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",0,0,0,0,0,243,7,,,,,,,,,,,,,,,,
9,5m,2026-03-02 02:04:57.17843+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 1, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",0,0,0,0,0,243,7,,,,,,,,,,,,,,,,
10,5m,2026-03-02 02:06:04.191452+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 1, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",0,0,0,0,0,243,7,,,,,,,,,,,,,,,,
11,5m,2026-03-02 02:07:04.713636+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 1, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",0,0,0,0,0,243,7,,,,,,,,,,,,,,,,
12,5m,2026-03-02 02:15:07.773521+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 1, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",0,0,0,0,0,243,7,,,,,,,,,,,,,,,,
13,15m,2026-03-02 02:15:09.515425+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 1, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",0,0,0,2,0,243,7,,,,,,,,,,,,,,,,
14,5m,2026-03-02 03:18:47.67846+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 1, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",0,0,0,0,0,243,7,,,,,,,,,,,,,,,,
15,15m,2026-03-02 03:36:26.030211+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 2, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",0,0,0,3,0,243,7,,,,,,,,,,,,,,,,
16,5m,2026-03-02 04:23:57.529767+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 1, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",0,0,0,0,0,243,7,,,,,,,,,,,,,,,,
17,15m,2026-03-02 04:24:06.061655+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 2, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",0,0,0,3,0,243,7,,,,,,,,,,,,,,,,
18,5m,2026-03-02 05:24:24.404504+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 2, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",0,0,0,3,0,243,7,,,,,,,,,,,,,,,,
19,15m,2026-03-02 05:24:30.313801+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 2, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",0,0,0,4,0,243,7,,,,,,,,,,,,,,,,
20,5m,2026-03-02 06:24:42.045014+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 2, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",0,0,0,3,0,243,7,,,,,,,,,,,,,,,,
21,15m,2026-03-02 06:24:51.014488+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 2, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",0,0,0,4,0,243,7,,,,,,,,,,,,,,,,
22,5m,2026-03-02 07:24:41.068206+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 2, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",0,0,0,4,0,243,7,,,,,,,,,,,,,,,,
23,15m,2026-03-02 07:24:49.917607+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 2, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",0,0,0,4,0,243,7,,,,,,,,,,,,,,,,
24,5m,2026-03-02 08:25:01.328406+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 2, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",0,0,0,4,0,243,7,,,,,,,,,,,,,,,,
25,15m,2026-03-02 08:25:09.731264+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 2, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",0,0,0,4,0,243,7,,,,,,,,,,,,,,,,
26,5m,2026-03-02 09:26:35.866437+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 2, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",0,0,0,4,0,243,7,,,,,,,,,,,,,,,,
27,15m,2026-03-02 09:42:08.387487+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 2, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",0,0,0,4,0,243,7,,,,,,,,,,,,,,,,
