timeframe,horizon,feature,window,market_time,value,computed_at
1m,1,score,20,2026-02-28 16:55:00+03,0,2026-03-01 04:04:55.525825+03
1m,1,score,20,2026-03-01 05:29:00+03,0.16613550424389323,2026-03-01 14:46:16.146574+03
1m,1,score,20,2026-03-01 05:33:00+03,-0.12418719555322984,2026-03-01 14:50:35.719255+03
1m,1,score,20,2026-02-28 23:10:00+03,0.7589976149056763,2026-03-01 11:31:15.517814+03
1m,1,score,20,2026-03-01 05:32:00+03,-0.12671561296655803,2026-03-01 14:49:30.945982+03
1m,1,score,50,2026-02-28 17:31:00+03,0,2026-03-01 05:08:43.730457+03
1m,1,score,20,2026-03-01 05:36:00+03,-0.17474990910988464,2026-03-01 14:53:50.091038+03
1m,1,score,20,2026-03-01 05:57:00+03,0.06241289357980794,2026-03-01 15:15:28.640921+03
1m,1,score,20,2026-03-01 05:31:00+03,-0.13234680813119293,2026-03-01 14:48:26.13184+03
1m,1,score,20,2026-03-01 05:30:00+03,0.19400181220956447,2026-03-01 14:47:21.102146+03
1m,1,score,20,2026-03-01 05:34:00+03,-0.16587263335771354,2026-03-01 14:51:40.349361+03
1m,1,score,20,2026-03-01 05:38:00+03,-0.16768774502382539,2026-03-01 14:55:59.997574+03
5m,1,score,50,2026-02-27 13:40:00+03,0,2026-03-01 12:36:00.700222+03
1m,1,score,20,2026-03-01 05:37:00+03,-0.17673017669220145,2026-03-01 14:54:55.212301+03
1m,1,score,20,2026-03-01 05:59:00+03,0.04675500677397601,2026-03-01 15:16:33.357678+03
1m,1,score,20,2026-03-01 06:10:00+03,-0.22255990394779374,2026-03-01 15:35:37.535739+03
1m,1,score,20,2026-03-01 06:14:00+03,-0.2379616293354997,2026-03-01 15:39:59.531498+03
1m,1,score,20,2026-03-01 06:16:00+03,-0.22391170174724734,2026-03-01 15:41:04.8791+03
15m,1,score,20,2026-02-26 20:45:00+03,-0.1117335356017065,2026-03-01 16:49:55.721764+03
1m,1,score,20,2026-03-01 05:35:00+03,-0.1730523721175965,2026-03-01 14:52:45.140268+03
1m,1,score,20,2026-03-01 05:39:00+03,-0.17663593013272733,2026-03-01 14:57:04.937577+03
1m,1,score,20,2026-03-01 06:00:00+03,0.027687907827508594,2026-03-01 15:33:29.205287+03
1m,1,score,20,2026-03-01 06:02:00+03,0.11083868395633596,2026-03-01 15:33:29.205287+03
1m,1,score,20,2026-03-01 06:09:00+03,-0.21824517290751877,2026-03-01 15:34:31.028963+03
1m,1,score,20,2026-03-01 14:52:00+03,0.03900386461313991,2026-03-01 16:49:54.888642+03
15m,1,score,20,2026-02-26 21:00:00+03,-0.021646833623661148,2026-03-01 16:49:55.721764+03
1m,1,score,20,2026-03-01 06:11:00+03,-0.22117694779209698,2026-03-01 15:36:43.542361+03
15m,1,score,20,2026-03-01 05:15:00+03,0.11071628527143483,2026-03-01 16:49:55.721764+03
15m,1,score,20,2026-03-01 05:30:00+03,0.1507076731103561,2026-03-01 16:49:55.721764+03
15m,1,score,20,2026-03-01 05:45:00+03,0.14921137611083526,2026-03-01 16:49:55.721764+03
15m,1,score,20,2026-03-01 06:00:00+03,0.14131688848717397,2026-03-01 16:49:55.721764+03
1m,1,score,20,2026-03-01 15:00:00+03,-0.012141705673859115,2026-03-01 16:49:54.888642+03
15m,1,score,20,2026-03-01 07:30:00+03,0.24559149356212126,2026-03-01 16:49:55.721764+03
15m,1,score,50,2026-02-27 19:15:00+03,-0.048923070221060544,2026-03-02 00:29:17.360018+03
