ts,epic,buyers_pct,sellers_pct
2026-03-03 21:41:20.175863+03,ETHUSD,88.68,11.32
2026-03-03 21:41:51.360697+03,ETHUSD,88.68,11.32
2026-03-03 21:42:30.466637+03,ETHUSD,88.68,11.32
2026-03-03 21:42:55.661836+03,ETHUSD,88.68,11.32
2026-03-03 21:43:26.296258+03,ETHUSD,88.68,11.32
2026-03-03 21:43:58.062505+03,ETHUSD,88.68,11.32
2026-03-03 21:44:27.80212+03,ETHUSD,88.68,11.32
2026-03-03 21:44:58.790662+03,ETHUSD,88.68,11.32
2026-03-03 21:45:29.48702+03,ETHUSD,88.68,11.32
2026-03-03 21:45:59.998959+03,ETHUSD,88.68,11.32
2026-03-03 21:46:31.323198+03,ETHUSD,88.68,11.32
2026-03-03 21:47:02.503572+03,ETHUSD,88.68,11.32
2026-03-03 21:47:32.884485+03,ETHUSD,88.68,11.32
2026-03-03 21:48:03.230304+03,ETHUSD,88.67,11.33
2026-03-03 21:48:33.973487+03,ETHUSD,88.67,11.33
2026-03-03 21:49:04.658265+03,ETHUSD,88.67,11.33
2026-03-03 21:49:34.932264+03,ETHUSD,88.67,11.33
2026-03-03 21:50:05.353471+03,ETHUSD,88.67,11.33
2026-03-03 21:50:35.869703+03,ETHUSD,88.67,11.33
2026-03-03 21:51:07.669041+03,ETHUSD,88.67,11.33
2026-03-03 21:51:39.006787+03,ETHUSD,88.67,11.33
2026-03-03 21:53:01.771263+03,ETHUSD,88.67,11.33
2026-03-03 21:53:32.63831+03,ETHUSD,88.67,11.33
2026-03-03 21:54:05.241068+03,ETHUSD,88.67,11.33
2026-03-03 21:54:36.323008+03,ETHUSD,88.59,11.41
2026-03-03 21:55:07.661167+03,ETHUSD,88.59,11.41
2026-03-03 21:55:37.703493+03,ETHUSD,88.59,11.41
2026-03-03 21:56:09.341877+03,ETHUSD,88.59,11.41
2026-03-03 21:56:38.96727+03,ETHUSD,88.59,11.41
2026-03-03 21:57:10.66683+03,ETHUSD,88.59,11.41
2026-03-03 21:57:41.261887+03,ETHUSD,88.59,11.41
2026-03-03 21:58:12.258186+03,ETHUSD,88.59,11.41
2026-03-03 21:58:42.736094+03,ETHUSD,88.59,11.41
2026-03-03 21:59:13.051055+03,ETHUSD,88.59,11.41
2026-03-03 21:59:43.913795+03,ETHUSD,88.59,11.41
2026-03-03 22:00:14.688062+03,ETHUSD,88.59,11.41
2026-03-03 22:00:46.1404+03,ETHUSD,88.59,11.41
2026-03-03 22:01:17.671678+03,ETHUSD,88.59,11.41
2026-03-03 22:01:53.320484+03,ETHUSD,88.59,11.41
2026-03-03 22:02:19.103278+03,ETHUSD,88.57,11.43
2026-03-03 22:02:49.712515+03,ETHUSD,88.57,11.43
2026-03-03 22:03:20.585723+03,ETHUSD,88.57,11.43
2026-03-03 22:03:50.695039+03,ETHUSD,88.57,11.43
2026-03-03 22:04:21.382353+03,ETHUSD,88.57,11.43
2026-03-03 22:04:52.644612+03,ETHUSD,88.57,11.43
2026-03-03 22:05:23.68672+03,ETHUSD,88.57,11.43
2026-03-03 22:05:54.525063+03,ETHUSD,88.57,11.43
2026-03-03 22:06:25.633884+03,ETHUSD,88.57,11.43
2026-03-03 22:06:56.158409+03,ETHUSD,88.57,11.43
2026-03-03 22:07:26.502291+03,ETHUSD,88.57,11.43
2026-03-03 22:07:57.066713+03,ETHUSD,88.57,11.43
2026-03-03 22:08:28.428889+03,ETHUSD,88.57,11.43
2026-03-03 22:08:59.056518+03,ETHUSD,88.57,11.43
2026-03-03 22:09:29.710938+03,ETHUSD,88.46,11.54
2026-03-03 22:10:06.201269+03,ETHUSD,88.46,11.54
2026-03-03 22:10:31.903493+03,ETHUSD,88.46,11.54
2026-03-03 22:11:02.689502+03,ETHUSD,88.46,11.54
2026-03-03 22:11:33.09701+03,ETHUSD,88.46,11.54
2026-03-03 22:12:04.619161+03,ETHUSD,88.46,11.54
2026-03-03 22:12:35.607872+03,ETHUSD,88.46,11.54
2026-03-03 22:13:11.051722+03,ETHUSD,88.46,11.54
2026-03-03 22:13:36.74153+03,ETHUSD,88.46,11.54
2026-03-03 22:14:08.501636+03,ETHUSD,88.46,11.54
2026-03-03 22:14:39.19454+03,ETHUSD,88.46,11.54
2026-03-03 22:15:09.520676+03,ETHUSD,88.46,11.54
2026-03-03 22:15:39.519048+03,ETHUSD,88.46,11.54
2026-03-03 22:16:11.207086+03,ETHUSD,88.46,11.54
2026-03-03 22:16:41.667175+03,ETHUSD,88.45,11.55
2026-03-03 22:17:12.550897+03,ETHUSD,88.45,11.55
2026-03-03 22:17:42.663405+03,ETHUSD,88.45,11.55
2026-03-03 22:18:12.876678+03,ETHUSD,88.45,11.55
2026-03-03 22:18:43.059319+03,ETHUSD,88.45,11.55
2026-03-03 22:19:13.587631+03,ETHUSD,88.45,11.55
2026-03-03 22:19:43.970123+03,ETHUSD,88.45,11.55
2026-03-03 22:20:20.088978+03,ETHUSD,88.45,11.55
2026-03-03 22:20:46.43036+03,ETHUSD,88.45,11.55
2026-03-03 22:21:17.755121+03,ETHUSD,88.45,11.55
2026-03-03 22:21:47.92583+03,ETHUSD,88.45,11.55
2026-03-03 22:22:19.083967+03,ETHUSD,88.45,11.55
2026-03-03 22:22:49.496563+03,ETHUSD,88.45,11.55
2026-03-03 22:23:20.278914+03,ETHUSD,88.45,11.55
2026-03-03 22:23:53.161499+03,ETHUSD,88.45,11.55
2026-03-03 22:24:23.748013+03,ETHUSD,88.45,11.55
2026-03-03 22:24:54.180977+03,ETHUSD,88.41,11.59
2026-03-03 22:25:24.645589+03,ETHUSD,88.41,11.59
2026-03-03 22:25:56.488301+03,ETHUSD,88.41,11.59
