id,timeframe,computed_at,start_time,end_time,rows,latest_close,latest_score,buyers_plus_sellers_mean_abs_diff
1,1m,2026-03-01 04:04:55.525825+03,2026-01-30 07:00:00+03,2026-03-01 04:02:00+03,2063,1961.345,3.0394839854619056,0
2,5m,2026-03-01 04:04:55.785607+03,2026-01-30 07:00:00+03,2026-03-01 03:55:00+03,1355,1962.815,-0.1695188809633415,3.88045479308099e-16
3,15m,2026-03-01 04:04:56.154843+03,2026-01-30 07:00:00+03,2026-03-01 03:45:00+03,887,1962.815,-1.5945971182474006,3.2042513450286365e-17
4,1m,2026-03-01 04:05:56.538645+03,2026-01-30 07:00:00+03,2026-03-01 04:03:00+03,2064,1958.335,0.15075590084514665,0
5,5m,2026-03-01 04:05:56.995567+03,2026-01-30 07:00:00+03,2026-03-01 03:55:00+03,1355,1962.815,-0.1695188809633415,3.88045479308099e-16
6,15m,2026-03-01 04:05:57.294147+03,2026-01-30 07:00:00+03,2026-03-01 03:45:00+03,887,1962.815,-1.5945971182474006,3.2042513450286365e-17
7,1m,2026-03-01 04:06:57.630571+03,2026-01-30 07:00:00+03,2026-03-01 04:04:00+03,2065,1955.905,0.15608455792237075,0
8,5m,2026-03-01 04:06:57.900284+03,2026-01-30 07:00:00+03,2026-03-01 04:00:00+03,1356,1955.905,0.40569479613330983,3.877593100755709e-16
9,15m,2026-03-01 04:06:58.180226+03,2026-01-30 07:00:00+03,2026-03-01 03:45:00+03,887,1962.815,-1.5945971182474006,3.2042513450286365e-17
10,1m,2026-03-01 04:07:58.73456+03,2026-01-30 07:00:00+03,2026-03-01 04:05:00+03,2066,1957.675,0.14713886006458693,0
11,5m,2026-03-01 04:07:59.042706+03,2026-01-30 07:00:00+03,2026-03-01 04:00:00+03,1356,1955.905,0.40569479613330983,3.877593100755709e-16
12,15m,2026-03-01 04:07:59.436155+03,2026-01-30 07:00:00+03,2026-03-01 03:45:00+03,887,1962.815,-1.5945971182474006,3.2042513450286365e-17
13,1m,2026-03-01 04:08:59.77097+03,2026-01-30 07:00:00+03,2026-03-01 04:06:00+03,2067,1958.845,0.1623654884858978,0
14,5m,2026-03-01 04:09:00.020921+03,2026-01-30 07:00:00+03,2026-03-01 04:00:00+03,1356,1955.905,0.40569479613330983,3.877593100755709e-16
15,15m,2026-03-01 04:09:00.395748+03,2026-01-30 07:00:00+03,2026-03-01 03:45:00+03,887,1962.815,-1.5945971182474006,3.2042513450286365e-17
16,1m,2026-03-01 04:10:00.850174+03,2026-01-30 07:00:00+03,2026-03-01 04:07:00+03,2068,1958.635,0.17288987986762172,0
17,5m,2026-03-01 04:10:01.273999+03,2026-01-30 07:00:00+03,2026-03-01 04:00:00+03,1356,1955.905,0.40569479613330983,3.877593100755709e-16
18,15m,2026-03-01 04:10:02.293354+03,2026-01-30 07:00:00+03,2026-03-01 03:45:00+03,887,1962.815,-1.5945971182474006,3.2042513450286365e-17
19,1m,2026-03-01 04:11:02.728003+03,2026-01-30 07:00:00+03,2026-03-01 04:08:00+03,2069,1958.215,0.19620148243700372,0
20,5m,2026-03-01 04:11:02.995825+03,2026-01-30 07:00:00+03,2026-03-01 04:00:00+03,1356,1955.905,0.40569479613330983,3.877593100755709e-16
21,15m,2026-03-01 04:11:03.375867+03,2026-01-30 07:00:00+03,2026-03-01 03:45:00+03,887,1962.815,-1.5945971182474006,3.2042513450286365e-17
22,1m,2026-03-01 04:12:03.726216+03,2026-01-30 07:00:00+03,2026-03-01 04:09:00+03,2070,1954.435,0.17002126967885495,0
23,5m,2026-03-01 04:12:03.987021+03,2026-01-30 07:00:00+03,2026-03-01 04:05:00+03,1357,1954.435,0.3432249932589171,3.874735626105189e-16
24,15m,2026-03-01 04:12:04.233345+03,2026-01-30 07:00:00+03,2026-03-01 03:45:00+03,887,1962.815,-1.5945971182474006,3.2042513450286365e-17
25,1m,2026-03-01 04:13:04.730331+03,2026-01-30 07:00:00+03,2026-03-01 04:10:00+03,2071,1956.775,0.15748367662357687,0
26,5m,2026-03-01 04:13:04.987516+03,2026-01-30 07:00:00+03,2026-03-01 04:05:00+03,1357,1954.435,0.3432249932589171,3.874735626105189e-16
27,15m,2026-03-01 04:13:05.229394+03,2026-01-30 07:00:00+03,2026-03-01 03:45:00+03,887,1962.815,-1.5945971182474006,3.2042513450286365e-17
28,1m,2026-03-01 04:14:05.754747+03,2026-01-30 07:00:00+03,2026-03-01 04:12:00+03,2073,1948.665,0.19487490707543423,0
29,5m,2026-03-01 04:14:06.015741+03,2026-01-30 07:00:00+03,2026-03-01 04:05:00+03,1357,1954.435,0.3432249932589171,3.874735626105189e-16
30,15m,2026-03-01 04:14:06.313129+03,2026-01-30 07:00:00+03,2026-03-01 03:45:00+03,887,1962.815,-1.5945971182474006,3.2042513450286365e-17
31,1m,2026-03-01 04:15:06.904999+03,2026-01-30 07:00:00+03,2026-03-01 04:12:00+03,2073,1948.665,0.19487490707543423,0
32,5m,2026-03-01 04:15:07.431231+03,2026-01-30 07:00:00+03,2026-03-01 04:05:00+03,1357,1954.435,0.3432249932589171,3.874735626105189e-16
33,15m,2026-03-01 04:15:07.864804+03,2026-01-30 07:00:00+03,2026-03-01 03:45:00+03,887,1962.815,-1.5945971182474006,3.2042513450286365e-17
34,1m,2026-03-01 04:16:34.129811+03,2026-01-30 07:00:00+03,2026-03-01 04:14:00+03,2075,1949.165,-1.690250869891339,0
35,5m,2026-03-01 04:16:35.222951+03,2026-01-30 07:00:00+03,2026-03-01 04:10:00+03,1358,1949.165,-0.04343957369170645,3.9765278289961426e-16
36,15m,2026-03-01 04:16:35.61614+03,2026-01-30 07:00:00+03,2026-03-01 04:00:00+03,888,1949.165,-0.0984622863558252,4.800964430811488e-17
37,1m,2026-03-01 04:17:46.439886+03,2026-01-30 07:00:00+03,2026-03-01 04:15:00+03,2076,1946.675,0.17669372020605345,0
38,5m,2026-03-01 04:17:46.90327+03,2026-01-30 07:00:00+03,2026-03-01 04:10:00+03,1358,1949.165,-0.04343957369170645,3.9765278289961426e-16
39,15m,2026-03-01 04:17:47.171908+03,2026-01-30 07:00:00+03,2026-03-01 04:00:00+03,888,1949.165,-0.0984622863558252,4.800964430811488e-17
40,1m,2026-03-01 04:45:26.06883+03,2026-01-30 07:00:00+03,2026-03-01 04:16:00+03,2077,1946.265,0.1841139224242581,0
41,5m,2026-03-01 04:45:26.368585+03,2026-01-30 07:00:00+03,2026-03-01 04:10:00+03,1358,1949.165,-0.04343957369170645,3.9765278289961426e-16
42,15m,2026-03-01 04:45:26.623316+03,2026-01-30 07:00:00+03,2026-03-01 04:00:00+03,888,1949.165,-0.0984622863558252,4.800964430811488e-17
43,1m,2026-03-01 04:46:27.410535+03,2026-01-30 07:00:00+03,2026-03-01 04:44:00+03,2084,1967.285,0.0870261822518596,0
44,5m,2026-03-01 04:46:28.925758+03,2026-01-30 07:00:00+03,2026-03-01 04:40:00+03,1361,1967.285,0.10483570571479445,3.9677625215112133e-16
45,15m,2026-03-01 04:46:30.342944+03,2026-01-30 07:00:00+03,2026-03-01 04:30:00+03,890,1967.285,0.07739678397052557,4.790175746697305e-17
46,1m,2026-03-01 04:47:31.683021+03,2026-01-30 07:00:00+03,2026-03-01 04:45:00+03,2085,1969.075,0.12101925367102201,0
47,5m,2026-03-01 04:47:33.495576+03,2026-01-30 07:00:00+03,2026-03-01 04:40:00+03,1361,1967.285,0.10483570571479445,3.9677625215112133e-16
48,15m,2026-03-01 04:47:35.255556+03,2026-01-30 07:00:00+03,2026-03-01 04:30:00+03,890,1967.285,0.07739678397052557,4.790175746697305e-17
49,1m,2026-03-01 04:48:36.448059+03,2026-01-30 07:00:00+03,2026-03-01 04:46:00+03,2086,1971.065,0.13405840305855896,0
50,5m,2026-03-01 04:48:37.181509+03,2026-01-30 07:00:00+03,2026-03-01 04:40:00+03,1361,1967.285,0.10483570571479445,3.9677625215112133e-16
51,15m,2026-03-01 04:48:38.36596+03,2026-01-30 07:00:00+03,2026-03-01 04:30:00+03,890,1967.285,0.07739678397052557,4.790175746697305e-17
52,1m,2026-03-01 04:49:39.330933+03,2026-01-30 07:00:00+03,2026-03-01 04:47:00+03,2087,1975.175,0.14911238516416686,0
53,5m,2026-03-01 04:49:39.865693+03,2026-01-30 07:00:00+03,2026-03-01 04:40:00+03,1361,1967.285,0.10483570571479445,3.9677625215112133e-16
